Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order,,,,,,,
F20_13,0,18,10,13,0.435,3,17,8,12,0.4,F20,1,,,,,,,
F20_15,1,20,10,9,0.526,0,19,0,20,0,F20,5,,,,,,,
F20_17,0,22,0,18,0,0,22,0,18,0,F20,2,,,,,,,
F20_19,4,16,8,12,0.4,9,13,9,8,0.529,F20,3,,,,,,,
F20_21,2,18,8,13,0.381,4,14,8,14,0.364,F20,9,,,,,,,
F20_27,9,11,8,12,0.4,10,10,8,12,0.4,F20,19,,,,,,,
F20_29,9,11,8,12,0.4,10,10,8,12,0.4,F20,21,,,,,,,
F20_31,9,10,8,13,0.381,8,7,9,16,0.36,F20,17,,,,,,,
F20_33,4,21,1,15,0.063,7,18,2,13,0.133,F20,16,,,,,,,
F20_35,2,18,4,16,0.2,4,16,15,5,0.75,F20,18,,,,,,,
F20_43,0,19,8,13,0.381,8,13,10,9,0.526,F20,11,,,,,,,
F20_45,0,16,8,16,0.333,2,17,2,19,0.095,F20,10,,,,,,,
F20_47,1,19,5,15,0.25,4,16,6,14,0.3,F20,20,,,,,,,
F20_49,3,23,0,15,0,1,22,0,17,0,F20,14,,,,,,,
F20_51,0,18,0,20,0,8,8,11,13,0.458,F20,4,,,,,,,
F20_59,1,13,8,17,0.32,3,17,8,13,0.381,F20,24,,,,,,,
F20_61,2,21,1,18,0.053,0,16,5,18,0.217,F20,22,,,,,,,
F20_63,4,18,9,9,0.5,0,18,9,13,0.409,F20,35,,,,,,,
F20_65,4,18,5,13,0.278,6,14,7,13,0.35,F20,26,,,,,,,
F20_67,0,16,3,21,0.125,12,8,11,7,0.611,F20,25,,,,,,,
F20_69,1,20,2,18,0.1,8,12,6,13,0.316,F20,23,,,,,,,
F20_75,10,11,7,12,0.368,3,19,6,12,0.333,F20,28,,,,,,,
F20_77,2,22,4,12,0.25,0,18,9,13,0.409,F20,37,,,,,,,
F20_79,0,17,11,12,0.478,6,12,7,15,0.318,F20,31,,,,,,,
F20_81,0,20,3,17,0.15,1,19,5,15,0.25,F20,27,,,,,,,
